id,pred
S001,D20
S002,D20
S003,D20
S004,D20
S005,D20
S006,D20
S007,D12
S008,D5
S009,D16
S010,D15
S011,D12
S012,D4
S013,D15
S014,D28
S015,D17
S016,D20
S017,D19
S018,D15
S019,D28
S020,D15
S021,D16
S022,D15
S023,D1
S024,D20
S025,D15
S026,D12
S027,D3
S028,D5
S029,D20
S030,D16
S031,D15
S032,D4
S033,D28
S034,D12
S035,D19
S036,D27
S037,D1
S038,D1
S039,D15
S040,D15
S041,D15
S042,D20
S043,D15
S044,D15
S045,D20
S046,D12
S047,D16
S048,D5
S049,D20
S050,D1
S051,D1
S052,D3
S053,D16
S054,D5
S055,D5
S056,D5
S057,D4
S058,D20
S059,D1
S060,D16
S061,D12
S062,D28
S063,D20
S064,D1
S065,D5
S066,D4
S067,D1
S068,D20
S069,D20
S070,D1
S071,D16
S072,D1
S073,D12
S074,D3
S075,D12
S076,D19
S077,D13
S078,D20
S079,D12
S080,D3
S081,D12
S082,D1
S083,D17
S084,D12
S085,D19
S086,D1
S087,D1
S088,D12
S089,D12
S090,D28
S091,D28
S092,D17
S093,D12
S094,D27
S095,D12
S096,D27
S097,D5
S098,D4
S099,D3
S100,D27
